State,year,Predicted_GSDP(Rs Lakh)
WEST BENGAL,1994,18100000
WEST BENGAL,1995,19500000
WEST BENGAL,1996,20800000
WEST BENGAL,1997,22100000
WEST BENGAL,1998,23400000
WEST BENGAL,1999,25000000
WEST BENGAL,2000,26200000
WEST BENGAL,2001,27700000
WEST BENGAL,2002,29000000
WEST BENGAL,2003,30300000
WEST BENGAL,2004,32600000
WEST BENGAL,2005,34200000
WEST BENGAL,2006,36100000
WEST BENGAL,2007,38800000
WEST BENGAL,2008,40300000
WEST BENGAL,2009,43000000
WEST BENGAL,2010,45300000
WEST BENGAL,2011,47900000
WEST BENGAL,2012,50300000
WEST BENGAL,2013,52000000
WEST BENGAL,2014,53300000
WEST BENGAL,2015,56900000
WEST BENGAL,2016,59800000
WEST BENGAL,2017,64600000
WEST BENGAL,2018,67900000
WEST BENGAL,2019,69200000
WEST BENGAL,2020,64600000
WEST BENGAL,2021,71200000
WEST BENGAL,2022,74900000
WEST BENGAL,2023,79200000
